Appliance,Power_Watts,Usage_Hours_Daily,Quantity,Usage_Days_Monthly,Region,Income_Level,Household_Size,Total_kWh_Monthly,Tariff_Bracket,Estimated_Bill_RWF
Refrigerator,150,24.0,1,30,Kigali,Medium,3,200.72,50+ kWh,66695.68
Iron,1198,1.38,1,7,Kigali,Medium,3,200.72,50+ kWh,66695.68
Phone Charger,7,5.1,2,25,Kigali,Medium,3,200.72,50+ kWh,66695.68
TV,79,5.45,1,26,Kigali,Medium,3,200.72,50+ kWh,66695.68
Washing Machine,576,1.25,1,7,Kigali,Medium,3,200.72,50+ kWh,66695.68
LED Lamp,14,8.05,6,26,Muhanga,High,6,618.76,50+ kWh,220952.44
Refrigerator,165,24.0,1,30,Muhanga,High,6,618.76,50+ kWh,220952.44
Blender,422,0.6,1,20,Muhanga,High,6,618.76,50+ kWh,220952.44
Laptop,59,4.08,2,26,Muhanga,High,6,618.76,50+ kWh,220952.44
Fan,47,8.53,3,22,Muhanga,High,6,618.76,50+ kWh,220952.44
TV,113,5.69,1,26,Muhanga,High,6,618.76,50+ kWh,220952.44
Water Heater,2630,2.64,2,30,Muhanga,High,6,618.76,50+ kWh,220952.44
Washing Machine,439,1.91,1,6,Muhanga,High,6,618.76,50+ kWh,220952.44
Phone Charger,9,5.9,4,30,Muhanga,Medium,2,120.44,50+ kWh,37072.36
Blender,494,0.34,1,9,Muhanga,Medium,2,120.44,50+ kWh,37072.36
TV,138,4.53,2,30,Muhanga,Medium,2,120.44,50+ kWh,37072.36
Fan,74,5.76,3,26,Muhanga,Medium,2,120.44,50+ kWh,37072.36
LED Lamp,12,6.64,6,27,Muhanga,Medium,2,120.44,50+ kWh,37072.36
Electric Kettle,1487,0.67,1,29,Muhanga,Medium,2,120.44,50+ kWh,37072.36
LED Lamp,13,3.31,2,27,Musanze,Low,8,33.8,21-50 kWh,6058.0
TV,96,2.51,1,27,Musanze,Low,8,33.8,21-50 kWh,6058.0
Iron,1169,1.78,1,12,Musanze,Low,8,33.8,21-50 kWh,6058.0
TV,125,4.5,1,25,Kigali,Low,6,32.7,21-50 kWh,5717.0
LED Lamp,9,4.01,5,26,Kigali,Low,6,32.7,21-50 kWh,5717.0
Fan,70,4.53,2,22,Kigali,Low,6,32.7,21-50 kWh,5717.0
LED Lamp,13,5.5,4,30,Huye,Medium,6,107.49,50+ kWh,32293.81
Refrigerator,106,24.0,1,30,Huye,Medium,6,107.49,50+ kWh,32293.81
Radio,13,2.33,1,21,Huye,Medium,6,107.49,50+ kWh,32293.81
Phone Charger,13,5.69,3,30,Huye,Medium,6,107.49,50+ kWh,32293.81
TV,139,4.4,1,25,Huye,Medium,6,107.49,50+ kWh,32293.81
Washing Machine,761,1.32,1,6,Rusizi,Medium,7,110.02,50+ kWh,33227.38
TV,76,5.16,1,29,Rusizi,Medium,7,110.02,50+ kWh,33227.38
Phone Charger,5,4.52,2,26,Rusizi,Medium,7,110.02,50+ kWh,33227.38
Refrigerator,127,24.0,1,30,Rusizi,Medium,7,110.02,50+ kWh,33227.38
LED Lamp,9,9.86,6,26,Kigali,High,3,779.72,50+ kWh,280346.68
AC,1910,7.07,2,16,Kigali,High,3,779.72,50+ kWh,280346.68
TV,110,7.57,2,28,Kigali,High,3,779.72,50+ kWh,280346.68
Microwave,883,1.01,1,23,Kigali,High,3,779.72,50+ kWh,280346.68
Iron,1149,2.75,1,9,Kigali,High,3,779.72,50+ kWh,280346.68
Laptop,41,4.71,2,24,Kigali,High,3,779.72,50+ kWh,280346.68
Washing Machine,405,2.34,1,8,Kigali,High,3,779.72,50+ kWh,280346.68
Water Heater,2848,3.53,1,21,Kigali,High,3,779.72,50+ kWh,280346.68
Fan,42,4.86,2,25,Kigali,High,3,779.72,50+ kWh,280346.68
Phone Charger,9,5.39,2,29,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
Fan,72,7.6,1,28,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
Radio,15,1.38,1,26,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
TV,101,3.65,2,28,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
LED Lamp,13,5.81,4,28,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
Refrigerator,158,24.0,1,30,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
Laptop,83,4.96,1,21,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
Electric Kettle,1038,1.29,1,23,Nyagatare,Medium,6,200.98,50+ kWh,66791.62
Laptop,57,3.21,2,30,Musanze,Medium,5,102.15,50+ kWh,30323.35
Fan,65,7.36,1,21,Musanze,Medium,5,102.15,50+ kWh,30323.35
Iron,994,1.32,1,5,Musanze,Medium,5,102.15,50+ kWh,30323.35
Electric Kettle,1198,1.37,1,26,Musanze,Medium,5,102.15,50+ kWh,30323.35
Blender,400,0.3,1,20,Musanze,Medium,5,102.15,50+ kWh,30323.35
TV,61,3.94,2,30,Musanze,Medium,5,102.15,50+ kWh,30323.35
Radio,13,2.18,1,27,Musanze,Medium,5,102.15,50+ kWh,30323.35
Phone Charger,14,3.77,4,30,Musanze,Medium,5,102.15,50+ kWh,30323.35
LED Lamp,12,4.43,5,30,Musanze,Medium,5,102.15,50+ kWh,30323.35
Iron,1081,0.66,1,9,Rusizi,Medium,7,200.11,50+ kWh,66470.59
Phone Charger,15,4.14,2,27,Rusizi,Medium,7,200.11,50+ kWh,66470.59
Blender,403,0.41,1,19,Rusizi,Medium,7,200.11,50+ kWh,66470.59
Fan,64,6.41,2,28,Rusizi,Medium,7,200.11,50+ kWh,66470.59
Refrigerator,186,24.0,1,30,Rusizi,Medium,7,200.11,50+ kWh,66470.59
Laptop,60,2.36,2,29,Rusizi,Medium,7,200.11,50+ kWh,66470.59
TV,108,3.41,2,30,Rusizi,Medium,7,200.11,50+ kWh,66470.59
Blender,496,0.52,1,14,Nyagatare,Medium,5,50.49,50+ kWh,11260.81
Radio,19,2.1,1,21,Nyagatare,Medium,5,50.49,50+ kWh,11260.81
Electric Kettle,1199,0.96,1,30,Nyagatare,Medium,5,50.49,50+ kWh,11260.81
LED Lamp,6,5.22,4,25,Nyagatare,Medium,5,50.49,50+ kWh,11260.81
Laptop,56,5.16,1,29,Nyagatare,Medium,5,50.49,50+ kWh,11260.81
Washing Machine,631,1.9,1,4,Huye,Medium,2,153.03,50+ kWh,49098.07
LED Lamp,9,6.59,4,25,Huye,Medium,2,153.03,50+ kWh,49098.07
Laptop,62,2.86,1,22,Huye,Medium,2,153.03,50+ kWh,49098.07
Radio,11,2.19,1,26,Huye,Medium,2,153.03,50+ kWh,49098.07
Refrigerator,171,24.0,1,30,Huye,Medium,2,153.03,50+ kWh,49098.07
Phone Charger,5,4.09,4,26,Huye,Medium,2,153.03,50+ kWh,49098.07
Fan,49,4.73,2,27,Huye,Medium,2,153.03,50+ kWh,49098.07
LED Lamp,6,7.88,3,28,Huye,Medium,2,197.56,50+ kWh,65529.64
TV,80,4.99,2,30,Huye,Medium,2,197.56,50+ kWh,65529.64
Radio,6,1.79,1,25,Huye,Medium,2,197.56,50+ kWh,65529.64
Fan,56,5.32,1,26,Huye,Medium,2,197.56,50+ kWh,65529.64
Refrigerator,183,24.0,1,30,Huye,Medium,2,197.56,50+ kWh,65529.64
Iron,981,1.59,1,12,Huye,Medium,2,197.56,50+ kWh,65529.64
Phone Charger,6,3.73,3,30,Huye,Medium,2,197.56,50+ kWh,65529.64
Laptop,90,4.06,1,25,Huye,Medium,2,197.56,50+ kWh,65529.64
LED Lamp,9,3.21,5,29,Kigali,Low,6,10.16,0-20 kWh,904.24
Radio,25,3.69,1,30,Kigali,Low,6,10.16,0-20 kWh,904.24
Fan,42,3.31,1,23,Kigali,Low,6,10.16,0-20 kWh,904.24
Phone Charger,12,3.09,3,29,Kigali,Low,2,40.1,21-50 kWh,8011.0
LED Lamp,5,3.84,5,27,Kigali,Low,2,40.1,21-50 kWh,8011.0
Iron,929,1.92,1,8,Kigali,Low,2,40.1,21-50 kWh,8011.0
Radio,9,2.23,1,29,Kigali,Low,2,40.1,21-50 kWh,8011.0
TV,103,4.71,1,29,Kigali,Low,2,40.1,21-50 kWh,8011.0
Fan,51,5.0,1,21,Kigali,Low,2,40.1,21-50 kWh,8011.0
Fan,60,8.71,4,28,Kigali,High,5,526.9,50+ kWh,187056.1
Washing Machine,569,2.3,1,4,Kigali,High,5,526.9,50+ kWh,187056.1
Refrigerator,190,24.0,1,30,Kigali,High,5,526.9,50+ kWh,187056.1
Microwave,1102,0.91,1,22,Kigali,High,5,526.9,50+ kWh,187056.1
LED Lamp,12,8.98,6,26,Kigali,High,5,526.9,50+ kWh,187056.1
AC,1617,6.85,1,21,Kigali,High,5,526.9,50+ kWh,187056.1
TV,74,6.95,2,28,Kigali,High,5,526.9,50+ kWh,187056.1
Laptop,90,7.24,2,20,Kigali,High,5,526.9,50+ kWh,187056.1
Iron,1027,1.71,1,5,Kigali,Low,4,30.19,21-50 kWh,4938.9
Radio,9,2.71,1,22,Kigali,Low,4,30.19,21-50 kWh,4938.9
Fan,72,5.9,2,17,Kigali,Low,4,30.19,21-50 kWh,4938.9
Phone Charger,7,2.09,1,30,Kigali,Low,4,30.19,21-50 kWh,4938.9
LED Lamp,7,5.7,5,30,Kigali,Low,4,30.19,21-50 kWh,4938.9
Phone Charger,7,3.43,2,29,Huye,Low,3,36.9,21-50 kWh,7019.0
Radio,6,4.62,1,21,Huye,Low,3,36.9,21-50 kWh,7019.0
Iron,1050,1.4,1,12,Huye,Low,3,36.9,21-50 kWh,7019.0
TV,62,4.56,1,27,Huye,Low,3,36.9,21-50 kWh,7019.0
LED Lamp,13,4.07,2,29,Huye,Low,3,36.9,21-50 kWh,7019.0
Fan,48,5.72,1,24,Huye,Low,3,36.9,21-50 kWh,7019.0
LED Lamp,9,4.85,3,28,Nyagatare,Medium,6,43.2,21-50 kWh,8972.0
TV,135,3.31,1,26,Nyagatare,Medium,6,43.2,21-50 kWh,8972.0
Blender,307,0.66,1,20,Nyagatare,Medium,6,43.2,21-50 kWh,8972.0
Electric Kettle,1206,0.7,1,28,Nyagatare,Medium,6,43.2,21-50 kWh,8972.0
Radio,9,1.18,1,21,Nyagatare,Medium,6,43.2,21-50 kWh,8972.0
LED Lamp,12,4.43,4,30,Muhanga,Low,8,31.62,21-50 kWh,5382.2
Fan,70,3.5,1,22,Muhanga,Low,8,31.62,21-50 kWh,5382.2
Iron,1128,1.0,1,9,Muhanga,Low,8,31.62,21-50 kWh,5382.2
TV,74,4.52,1,29,Muhanga,Low,8,31.62,21-50 kWh,5382.2
Radio,21,3.84,1,27,Kigali,Low,3,22.16,21-50 kWh,2449.6
Phone Charger,7,3.91,3,29,Kigali,Low,3,22.16,21-50 kWh,2449.6
Fan,43,3.89,2,20,Kigali,Low,3,22.16,21-50 kWh,2449.6
TV,129,2.03,1,28,Kigali,Low,3,22.16,21-50 kWh,2449.6
LED Lamp,8,4.97,3,30,Kigali,Low,3,22.16,21-50 kWh,2449.6
Radio,16,2.12,1,29,Kigali,Medium,7,230.63,50+ kWh,77732.47
Fan,53,7.21,1,24,Kigali,Medium,7,230.63,50+ kWh,77732.47
Blender,506,0.62,1,10,Kigali,Medium,7,230.63,50+ kWh,77732.47
LED Lamp,13,6.27,4,27,Kigali,Medium,7,230.63,50+ kWh,77732.47
Refrigerator,191,24.0,1,30,Kigali,Medium,7,230.63,50+ kWh,77732.47
Iron,831,0.63,1,6,Kigali,Medium,7,230.63,50+ kWh,77732.47
TV,100,5.02,2,29,Kigali,Medium,7,230.63,50+ kWh,77732.47
Electric Kettle,1317,1.09,1,27,Kigali,Medium,7,230.63,50+ kWh,77732.47
Fan,48,7.92,1,29,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
TV,84,5.81,2,27,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Iron,983,2.29,1,12,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Electric Kettle,1385,0.76,1,28,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Phone Charger,5,3.62,3,26,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Washing Machine,565,1.28,1,8,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Blender,589,0.72,1,16,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Refrigerator,100,24.0,1,30,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Laptop,49,4.65,1,21,Nyagatare,Medium,6,184.62,50+ kWh,60754.78
Phone Charger,15,3.08,2,30,Nyagatare,Low,8,33.01,21-50 kWh,5813.1
TV,140,3.04,1,25,Nyagatare,Low,8,33.01,21-50 kWh,5813.1
Iron,1138,1.47,1,9,Nyagatare,Low,8,33.01,21-50 kWh,5813.1
Radio,11,2.18,1,28,Nyagatare,Low,8,33.01,21-50 kWh,5813.1
Fan,43,5.63,1,16,Nyagatare,Low,8,33.01,21-50 kWh,5813.1
Fan,43,3.05,3,17,Kigali,Medium,2,155.81,50+ kWh,50123.89
Iron,914,0.65,1,12,Kigali,Medium,2,155.81,50+ kWh,50123.89
TV,107,5.0,1,26,Kigali,Medium,2,155.81,50+ kWh,50123.89
Laptop,81,4.92,2,27,Kigali,Medium,2,155.81,50+ kWh,50123.89
Refrigerator,148,24.0,1,30,Kigali,Medium,2,155.81,50+ kWh,50123.89
Electric Kettle,1261,0.9,1,23,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Iron,971,1.94,1,9,Muhanga,Medium,8,178.27,50+ kWh,58411.63
LED Lamp,12,4.05,5,25,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Fan,71,5.5,3,26,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Refrigerator,100,24.0,1,30,Muhanga,Medium,8,178.27,50+ kWh,58411.63
TV,122,3.03,2,25,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Radio,18,1.29,1,25,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Washing Machine,519,1.08,1,9,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Phone Charger,5,4.98,4,26,Muhanga,Medium,8,178.27,50+ kWh,58411.63
Radio,9,2.1,1,30,Nyagatare,Low,3,17.89,0-20 kWh,1592.21
Phone Charger,6,2.37,3,28,Nyagatare,Low,3,17.89,0-20 kWh,1592.21
TV,127,3.78,1,29,Nyagatare,Low,3,17.89,0-20 kWh,1592.21
LED Lamp,14,3.16,2,25,Nyagatare,Low,3,17.89,0-20 kWh,1592.21
Laptop,86,3.98,1,23,Nyagatare,Medium,2,81.87,50+ kWh,22840.03
Phone Charger,9,4.18,3,28,Nyagatare,Medium,2,81.87,50+ kWh,22840.03
Iron,1123,2.35,1,9,Nyagatare,Medium,2,81.87,50+ kWh,22840.03
LED Lamp,11,6.2,4,29,Nyagatare,Medium,2,81.87,50+ kWh,22840.03
Electric Kettle,1272,1.4,1,22,Nyagatare,Medium,2,81.87,50+ kWh,22840.03
Blender,598,0.34,1,14,Muhanga,Medium,6,99.43,50+ kWh,29319.67
Iron,1157,1.06,1,5,Muhanga,Medium,6,99.43,50+ kWh,29319.67
Laptop,70,5.98,1,20,Muhanga,Medium,6,99.43,50+ kWh,29319.67
Refrigerator,114,24.0,1,30,Muhanga,Medium,6,99.43,50+ kWh,29319.67
Fan,56,7.89,3,19,Muhanga,Medium,5,148.85,50+ kWh,47555.65
Iron,1038,1.85,1,7,Muhanga,Medium,5,148.85,50+ kWh,47555.65
Refrigerator,146,24.0,1,30,Muhanga,Medium,5,148.85,50+ kWh,47555.65
Blender,458,0.62,1,18,Muhanga,Medium,5,148.85,50+ kWh,47555.65
Radio,9,4.12,1,22,Rubavu,Low,3,21.71,21-50 kWh,2310.1
Fan,58,5.9,1,16,Rubavu,Low,3,21.71,21-50 kWh,2310.1
TV,87,2.46,1,30,Rubavu,Low,3,21.71,21-50 kWh,2310.1
LED Lamp,13,5.93,4,27,Rubavu,Low,3,21.71,21-50 kWh,2310.1
Phone Charger,7,3.27,1,29,Rubavu,Low,3,21.71,21-50 kWh,2310.1
LED Lamp,8,4.75,6,28,Kigali,Medium,5,137.22,50+ kWh,43264.18
Fan,75,7.26,3,24,Kigali,Medium,5,137.22,50+ kWh,43264.18
Radio,24,1.44,1,25,Kigali,Medium,5,137.22,50+ kWh,43264.18
Laptop,67,4.45,1,29,Kigali,Medium,5,137.22,50+ kWh,43264.18
TV,97,4.59,2,27,Kigali,Medium,5,137.22,50+ kWh,43264.18
Phone Charger,10,4.47,2,26,Kigali,Medium,5,137.22,50+ kWh,43264.18
Blender,379,0.69,1,17,Kigali,Medium,5,137.22,50+ kWh,43264.18
Washing Machine,613,1.26,1,4,Kigali,Medium,5,137.22,50+ kWh,43264.18
Electric Kettle,1386,1.2,1,29,Kigali,Medium,5,137.22,50+ kWh,43264.18
Electric Kettle,1434,1.22,1,20,Huye,Medium,2,66.88,50+ kWh,17308.72
Iron,1194,2.3,1,8,Huye,Medium,2,66.88,50+ kWh,17308.72
Laptop,63,2.26,2,20,Huye,Medium,2,66.88,50+ kWh,17308.72
Blender,356,0.79,1,15,Huye,Medium,2,66.88,50+ kWh,17308.72
Electric Kettle,1081,0.89,1,20,Muhanga,Medium,8,192.13,50+ kWh,63525.97
TV,60,5.63,1,28,Muhanga,Medium,8,192.13,50+ kWh,63525.97
Laptop,89,2.66,1,26,Muhanga,Medium,8,192.13,50+ kWh,63525.97
Refrigerator,147,24.0,1,30,Muhanga,Medium,8,192.13,50+ kWh,63525.97
Phone Charger,12,3.18,2,30,Muhanga,Medium,8,192.13,50+ kWh,63525.97
Iron,1199,1.84,1,5,Muhanga,Medium,8,192.13,50+ kWh,63525.97
Fan,65,6.74,3,29,Muhanga,Medium,8,192.13,50+ kWh,63525.97
Phone Charger,10,3.07,3,27,Rusizi,Low,7,16.58,0-20 kWh,1475.62
LED Lamp,12,3.11,2,29,Rusizi,Low,7,16.58,0-20 kWh,1475.62
Fan,53,5.53,1,16,Rusizi,Low,7,16.58,0-20 kWh,1475.62
TV,62,4.17,1,28,Rusizi,Low,7,16.58,0-20 kWh,1475.62
Iron,1193,0.63,1,5,Kigali,Low,6,27.22,21-50 kWh,4018.2
Fan,70,4.88,1,15,Kigali,Low,6,27.22,21-50 kWh,4018.2
Phone Charger,6,3.61,1,27,Kigali,Low,6,27.22,21-50 kWh,4018.2
TV,150,3.73,1,29,Kigali,Low,6,27.22,21-50 kWh,4018.2
Radio,14,4.21,1,26,Kigali,Low,6,27.22,21-50 kWh,4018.2
LED Lamp,6,6.42,5,27,Nyagatare,High,8,259.78,50+ kWh,88488.82
Electric Kettle,1324,1.15,1,24,Nyagatare,High,8,259.78,50+ kWh,88488.82
Iron,1093,2.86,1,5,Nyagatare,High,8,259.78,50+ kWh,88488.82
Refrigerator,130,24.0,2,30,Nyagatare,High,8,259.78,50+ kWh,88488.82
Laptop,89,7.12,1,24,Nyagatare,High,8,259.78,50+ kWh,88488.82
LED Lamp,6,3.67,2,30,Rubavu,Low,7,26.96,21-50 kWh,3937.6
Fan,66,5.69,1,29,Rubavu,Low,7,26.96,21-50 kWh,3937.6
Iron,950,0.59,1,5,Rubavu,Low,7,26.96,21-50 kWh,3937.6
Phone Charger,9,2.35,3,26,Rubavu,Low,7,26.96,21-50 kWh,3937.6
Radio,9,2.52,1,24,Rubavu,Low,7,26.96,21-50 kWh,3937.6
TV,79,4.12,1,30,Rubavu,Low,7,26.96,21-50 kWh,3937.6
Blender,400,0.65,2,13,Kigali,High,3,597.44,50+ kWh,213085.36
LED Lamp,8,8.67,7,27,Kigali,High,3,597.44,50+ kWh,213085.36
Iron,1144,1.63,2,10,Kigali,High,3,597.44,50+ kWh,213085.36
Microwave,1179,0.96,1,19,Kigali,High,3,597.44,50+ kWh,213085.36
Water Heater,2612,3.1,2,23,Kigali,High,3,597.44,50+ kWh,213085.36
Laptop,86,6.67,2,29,Kigali,High,3,597.44,50+ kWh,213085.36
Refrigerator,157,24.0,1,30,Kigali,High,3,597.44,50+ kWh,213085.36
Laptop,58,3.06,2,21,Musanze,Medium,2,192.87,50+ kWh,63799.03
Blender,407,0.61,1,14,Musanze,Medium,2,192.87,50+ kWh,63799.03
Refrigerator,167,24.0,1,30,Musanze,Medium,2,192.87,50+ kWh,63799.03
Fan,72,5.99,2,23,Musanze,Medium,2,192.87,50+ kWh,63799.03
Phone Charger,15,3.23,2,27,Musanze,Medium,2,192.87,50+ kWh,63799.03
TV,87,5.34,1,28,Musanze,Medium,2,192.87,50+ kWh,63799.03
Washing Machine,499,1.95,1,12,Musanze,Medium,2,192.87,50+ kWh,63799.03
Iron,962,1.26,1,12,Musanze,Medium,2,192.87,50+ kWh,63799.03
Refrigerator,198,24.0,1,30,Rubavu,High,2,700.52,50+ kWh,251121.88
Iron,1113,1.4,1,12,Rubavu,High,2,700.52,50+ kWh,251121.88
Washing Machine,716,2.05,1,7,Rubavu,High,2,700.52,50+ kWh,251121.88
AC,2764,7.74,1,17,Rubavu,High,2,700.52,50+ kWh,251121.88
TV,146,5.6,3,28,Rubavu,High,2,700.52,50+ kWh,251121.88
Electric Kettle,1477,1.1,1,26,Rubavu,High,2,700.52,50+ kWh,251121.88
Phone Charger,8,4.38,4,26,Rubavu,High,2,700.52,50+ kWh,251121.88
Laptop,46,7.97,1,22,Rubavu,High,2,700.52,50+ kWh,251121.88
Fan,55,9.98,3,15,Rubavu,High,2,700.52,50+ kWh,251121.88
Blender,433,0.64,2,12,Rubavu,High,2,700.52,50+ kWh,251121.88
LED Lamp,12,9.43,4,25,Rubavu,High,2,700.52,50+ kWh,251121.88
Laptop,89,6.53,3,26,Rusizi,High,7,663.94,50+ kWh,237623.86
Blender,363,0.61,1,11,Rusizi,High,7,663.94,50+ kWh,237623.86
Washing Machine,522,1.57,1,7,Rusizi,High,7,663.94,50+ kWh,237623.86
Electric Kettle,1469,1.95,2,23,Rusizi,High,7,663.94,50+ kWh,237623.86
Phone Charger,14,5.95,5,27,Rusizi,High,7,663.94,50+ kWh,237623.86
Microwave,1042,0.85,1,22,Rusizi,High,7,663.94,50+ kWh,237623.86
Water Heater,2504,3.44,2,26,Rusizi,High,7,663.94,50+ kWh,237623.86
Blender,594,0.5,1,8,Kigali,Medium,8,39.89,21-50 kWh,7945.9
TV,84,3.25,1,25,Kigali,Medium,8,39.89,21-50 kWh,7945.9
Iron,1011,1.31,1,6,Kigali,Medium,8,39.89,21-50 kWh,7945.9
Laptop,66,3.54,1,26,Kigali,Medium,8,39.89,21-50 kWh,7945.9
Fan,40,7.23,1,16,Kigali,Medium,8,39.89,21-50 kWh,7945.9
LED Lamp,12,5.09,3,25,Kigali,Medium,8,39.89,21-50 kWh,7945.9
Phone Charger,13,4.94,4,29,Kigali,Medium,8,39.89,21-50 kWh,7945.9
LED Lamp,5,4.92,3,30,Kigali,Medium,3,143.06,50+ kWh,45419.14
TV,124,4.42,2,28,Kigali,Medium,3,143.06,50+ kWh,45419.14
Washing Machine,458,1.18,1,8,Kigali,Medium,3,143.06,50+ kWh,45419.14
Refrigerator,147,24.0,1,30,Kigali,Medium,3,143.06,50+ kWh,45419.14
Phone Charger,5,3.2,2,29,Muhanga,Low,8,24.3,21-50 kWh,3113.0
TV,65,3.44,1,30,Muhanga,Low,8,24.3,21-50 kWh,3113.0
Fan,62,3.67,1,24,Muhanga,Low,8,24.3,21-50 kWh,3113.0
Iron,943,0.99,1,12,Muhanga,Low,8,24.3,21-50 kWh,3113.0
TV,55,2.84,1,30,Nyagatare,Low,2,33.92,21-50 kWh,6095.2
Phone Charger,6,2.63,2,26,Nyagatare,Low,2,33.92,21-50 kWh,6095.2
Radio,12,4.44,1,25,Nyagatare,Low,2,33.92,21-50 kWh,6095.2
LED Lamp,13,5.17,5,30,Nyagatare,Low,2,33.92,21-50 kWh,6095.2
Fan,70,5.28,2,23,Nyagatare,Low,2,33.92,21-50 kWh,6095.2
Iron,1023,0.66,1,12,Kigali,Low,3,32.38,21-50 kWh,5617.8
TV,58,2.49,1,27,Kigali,Low,3,32.38,21-50 kWh,5617.8
LED Lamp,5,3.8,4,26,Kigali,Low,3,32.38,21-50 kWh,5617.8
Fan,62,4.56,2,29,Kigali,Low,3,32.38,21-50 kWh,5617.8
Phone Charger,13,2.26,2,27,Kigali,Low,3,32.38,21-50 kWh,5617.8
Radio,7,2.67,1,22,Kigali,Low,3,32.38,21-50 kWh,5617.8
Fan,68,6.67,3,23,Kigali,Medium,2,114.77,50+ kWh,34980.13
Phone Charger,11,5.6,3,25,Kigali,Medium,2,114.77,50+ kWh,34980.13
TV,88,4.5,2,28,Kigali,Medium,2,114.77,50+ kWh,34980.13
Iron,936,1.8,1,7,Kigali,Medium,2,114.77,50+ kWh,34980.13
Electric Kettle,1245,1.02,1,23,Kigali,Medium,2,114.77,50+ kWh,34980.13
Laptop,51,5.69,2,27,Kigali,Medium,2,114.77,50+ kWh,34980.13
Refrigerator,190,24.0,1,30,Muhanga,Medium,4,183.01,50+ kWh,60160.69
Fan,70,7.9,2,22,Muhanga,Medium,4,183.01,50+ kWh,60160.69
Iron,874,1.61,1,10,Muhanga,Medium,4,183.01,50+ kWh,60160.69
LED Lamp,8,6.08,3,27,Muhanga,Medium,4,183.01,50+ kWh,60160.69
Laptop,41,4.72,1,20,Muhanga,Medium,4,183.01,50+ kWh,60160.69
LED Lamp,7,6.32,6,26,Kigali,Medium,3,198.14,50+ kWh,65743.66
Refrigerator,193,24.0,1,30,Kigali,Medium,3,198.14,50+ kWh,65743.66
Electric Kettle,1305,0.72,1,26,Kigali,Medium,3,198.14,50+ kWh,65743.66
Laptop,56,4.82,2,22,Kigali,Medium,3,198.14,50+ kWh,65743.66
Blender,516,0.64,1,8,Kigali,Medium,3,198.14,50+ kWh,65743.66
Fan,62,5.97,2,18,Kigali,Medium,3,198.14,50+ kWh,65743.66
Electric Kettle,1389,0.69,1,20,Huye,Medium,2,84.27,50+ kWh,23725.63
LED Lamp,11,4.03,4,26,Huye,Medium,2,84.27,50+ kWh,23725.63
TV,116,3.33,2,30,Huye,Medium,2,84.27,50+ kWh,23725.63
Laptop,85,3.43,2,28,Huye,Medium,2,84.27,50+ kWh,23725.63
Fan,75,5.38,2,26,Huye,Medium,2,84.27,50+ kWh,23725.63
TV,97,3.56,2,25,Rusizi,Medium,3,168.14,50+ kWh,54673.66
LED Lamp,8,7.47,4,27,Rusizi,Medium,3,168.14,50+ kWh,54673.66
Refrigerator,122,24.0,1,30,Rusizi,Medium,3,168.14,50+ kWh,54673.66
Iron,1075,1.16,1,4,Rusizi,Medium,3,168.14,50+ kWh,54673.66
Electric Kettle,1137,1.31,1,28,Rusizi,Medium,3,168.14,50+ kWh,54673.66
Fan,43,3.53,2,17,Rusizi,Medium,3,168.14,50+ kWh,54673.66
Phone Charger,15,3.62,3,29,Rusizi,Medium,3,168.14,50+ kWh,54673.66
LED Lamp,5,4.47,5,26,Kigali,Low,8,13.56,0-20 kWh,1206.84
Iron,893,1.05,1,10,Kigali,Low,8,13.56,0-20 kWh,1206.84
Phone Charger,9,3.77,1,25,Kigali,Low,8,13.56,0-20 kWh,1206.84
Radio,9,2.34,1,20,Kigali,Low,8,13.56,0-20 kWh,1206.84
Phone Charger,6,3.96,4,26,Kigali,Medium,7,169.91,50+ kWh,55326.79
Refrigerator,123,24.0,1,30,Kigali,Medium,7,169.91,50+ kWh,55326.79
Iron,987,1.77,1,6,Kigali,Medium,7,169.91,50+ kWh,55326.79
Blender,545,0.8,1,13,Kigali,Medium,7,169.91,50+ kWh,55326.79
TV,122,5.44,2,27,Kigali,Medium,7,169.91,50+ kWh,55326.79
LED Lamp,7,7.28,4,27,Kigali,Medium,7,169.91,50+ kWh,55326.79
Fan,57,6.47,2,29,Kigali,Medium,7,169.91,50+ kWh,55326.79
