Household_ID,Appliance,Power_Watts,Usage_Hours_Daily,Quantity,Usage_Days_Monthly,Region,Income_Level,Household_Size,Total_kWh_Monthly,Tariff_Bracket,Estimated_Bill_RWF,Month
HH01027,Fan,63,3.8,3,25,Southern,High,8,17.95,0-20 kWh,1597.55,November
HH01028,TV,83,5.8,1,26,Kigali,High,6,12.52,0-20 kWh,1114.28,August
HH01029,Mobile Charger,7,9.4,3,25,Western,High,2,4.93,0-20 kWh,438.77,December
HH01030,Stove,1115,5.3,3,24,Southern,Low,2,425.48,50+ kWh,157002.12,March
HH01031,Water Heater,2985,9.6,3,30,Eastern,Medium,7,2579.04,50+ kWh,951665.76,November
HH01032,Laptop,65,6.0,3,29,Western,High,8,33.93,21-50 kWh,10518.3,January
HH01033,TV,64,9.3,3,25,Southern,High,7,44.64,21-50 kWh,13838.4,February
HH01034,Microwave,830,2.8,2,26,Northern,Low,8,120.85,50+ kWh,44593.65,March
HH01035,Microwave,974,9.6,3,31,Eastern,High,5,869.59,50+ kWh,320878.71,July
HH01036,Fan,65,4.0,3,21,Kigali,Medium,2,16.38,0-20 kWh,1457.82,June
HH01037,Stove,1262,0.8,2,30,Western,Medium,2,60.58,50+ kWh,22354.02,April
HH01038,Fridge,134,4.4,3,25,Northern,High,8,44.22,21-50 kWh,13708.2,January
HH01039,Fan,68,6.7,3,22,Northern,High,1,30.07,21-50 kWh,9321.7,September
HH01040,Light Bulb,11,1.6,3,22,Northern,High,1,1.16,0-20 kWh,103.24,January
HH01041,Microwave,969,7.9,2,22,Southern,Low,4,336.82,50+ kWh,124286.58,August
HH01042,Fridge,165,8.5,3,31,Southern,Low,3,130.43,50+ kWh,48128.67,December
HH01043,Iron,1179,3.7,1,20,Kigali,Low,7,87.25,50+ kWh,32195.25,April
HH01044,Laptop,47,4.0,2,29,Southern,High,8,10.9,0-20 kWh,970.1,February
HH01045,Fan,40,9.7,2,28,Northern,High,5,21.73,21-50 kWh,6736.3,August
HH01046,Light Bulb,17,4.4,1,20,Southern,Low,7,1.5,0-20 kWh,133.5,January
HH01047,Iron,880,2.7,1,27,Eastern,Low,3,64.15,50+ kWh,23671.35,March
HH01048,Washing Machine,853,9.0,2,23,Western,Medium,1,353.14,50+ kWh,130308.66,July
HH01049,Washing Machine,978,5.1,3,26,Western,High,6,389.05,50+ kWh,143559.45,June
HH01050,Light Bulb,12,5.7,1,21,Eastern,Medium,1,1.44,0-20 kWh,128.16,September
HH01051,Water Heater,2474,2.5,1,26,Northern,Low,8,160.81,50+ kWh,59338.89,August
HH01052,Light Bulb,14,4.7,1,20,Southern,High,6,1.32,0-20 kWh,117.48,November
HH01053,Laptop,57,4.2,1,20,Western,Medium,2,4.79,0-20 kWh,426.31,August
HH01054,Laptop,53,0.6,3,31,Western,High,6,2.96,0-20 kWh,263.44,December
HH01055,Iron,847,9.3,1,25,Southern,High,1,196.93,50+ kWh,72667.17,June
HH01056,Stove,1372,5.4,3,23,Western,Medium,3,511.21,50+ kWh,188636.49,April
HH01057,Light Bulb,20,6.5,2,21,Southern,High,5,5.46,0-20 kWh,485.94,June
HH01058,Laptop,70,9.5,2,23,Kigali,High,2,30.59,21-50 kWh,9482.9,December
HH01059,Fridge,99,8.4,2,30,Western,Low,6,49.9,21-50 kWh,15469.0,February
HH01060,Iron,1080,5.8,1,29,Kigali,Medium,7,181.66,50+ kWh,67032.54,August
HH01061,Microwave,980,2.7,2,21,Western,High,5,111.13,50+ kWh,41006.97,March
HH01062,Fridge,121,8.2,2,30,Western,High,7,59.53,50+ kWh,21966.57,July
HH01063,Stove,1242,7.2,1,30,Western,Low,3,268.27,50+ kWh,98991.63,August
HH01064,Washing Machine,833,10.0,2,26,Kigali,High,6,433.16,50+ kWh,159836.04,July
HH01065,Radio,37,7.5,3,23,Eastern,Medium,3,19.15,0-20 kWh,1704.35,February
HH01066,Iron,984,5.4,2,30,Kigali,Low,6,318.82,50+ kWh,117644.58,October
HH01067,Mobile Charger,6,2.4,1,24,Southern,Low,7,0.35,0-20 kWh,31.15,February
HH01068,Microwave,915,6.0,2,30,Southern,Medium,8,329.4,50+ kWh,121548.6,July
HH01069,Washing Machine,717,5.5,1,29,Southern,Medium,1,114.36,50+ kWh,42198.84,February
HH01070,Light Bulb,10,8.8,1,21,Northern,High,6,1.85,0-20 kWh,164.65,May
HH01071,TV,135,9.9,2,27,Western,Medium,6,72.17,50+ kWh,26630.73,June
HH01072,Washing Machine,993,0.6,1,24,Kigali,Medium,8,14.3,0-20 kWh,1272.7,October
HH01073,Radio,27,4.7,3,30,Northern,High,1,11.42,0-20 kWh,1016.38,June
HH01074,Microwave,1152,2.4,3,27,Eastern,High,5,223.95,50+ kWh,82637.55,July
HH01075,Iron,1072,2.6,1,30,Eastern,Low,4,83.62,50+ kWh,30855.78,December
HH01076,Light Bulb,10,4.1,3,24,Eastern,High,5,2.95,0-20 kWh,262.55,January
HH01077,Laptop,59,8.9,2,31,Kigali,Medium,7,32.56,21-50 kWh,10093.6,February
HH01078,Stove,1748,5.5,3,22,Southern,High,7,634.52,50+ kWh,234137.88,August
HH01079,Radio,28,9.2,2,27,Western,High,1,13.91,0-20 kWh,1237.99,November
HH01080,Light Bulb,15,5.8,1,25,Eastern,Low,4,2.17,0-20 kWh,193.13,May
HH01081,Radio,49,1.8,3,26,Western,High,7,6.88,0-20 kWh,612.32,November
HH01082,Light Bulb,17,9.4,2,21,Eastern,High,4,6.71,0-20 kWh,597.19,December
HH01083,Fan,70,7.5,2,23,Southern,Medium,5,24.15,21-50 kWh,7486.5,July
HH01084,Radio,48,5.4,2,25,Eastern,Low,6,12.96,0-20 kWh,1153.44,December
HH01085,Washing Machine,920,3.0,1,31,Western,High,1,85.56,50+ kWh,31571.64,June
HH01086,Laptop,58,1.8,1,30,Western,High,5,3.13,0-20 kWh,278.57,June
HH01087,Radio,43,9.6,3,26,Kigali,High,3,32.2,21-50 kWh,9982.0,August
HH01088,Iron,852,6.2,2,28,Western,High,1,295.81,50+ kWh,109153.89,November
HH01089,Washing Machine,869,8.7,1,29,Southern,Medium,8,219.25,50+ kWh,80903.25,August
HH01090,Iron,979,5.1,3,23,Western,High,4,344.51,50+ kWh,127124.19,November
HH01091,Fridge,187,3.9,2,28,Eastern,Medium,2,40.84,21-50 kWh,12660.4,June
HH01092,Radio,50,3.8,3,30,Kigali,High,3,17.1,0-20 kWh,1521.9,August
HH01093,Iron,935,8.0,3,31,Western,High,2,695.64,50+ kWh,256691.16,February
HH01094,Laptop,64,10.0,3,29,Kigali,Medium,7,55.68,50+ kWh,20545.92,May
HH01095,Light Bulb,12,3.0,1,29,Kigali,Low,2,1.04,0-20 kWh,92.56,July
HH01096,Fan,44,3.0,3,22,Eastern,High,2,8.71,0-20 kWh,775.19,July
HH01097,Stove,1540,3.3,1,24,Northern,High,1,121.97,50+ kWh,45006.93,November
HH01098,Laptop,57,8.8,1,26,Kigali,Medium,1,13.04,0-20 kWh,1160.56,February
HH01099,Laptop,70,7.9,3,20,Kigali,Low,3,33.18,21-50 kWh,10285.8,June
HH01100,Stove,1266,2.3,2,29,Kigali,High,3,168.88,50+ kWh,62316.72,June
HH01101,Fridge,188,1.2,1,31,Northern,Low,3,6.99,0-20 kWh,622.11,December
HH01102,Fridge,181,3.0,2,27,Southern,Low,3,29.32,21-50 kWh,9089.2,March
HH01103,Fridge,200,9.4,3,31,Northern,Medium,3,174.84,50+ kWh,64515.96,September
HH01104,Microwave,915,1.1,3,30,Kigali,High,5,90.59,50+ kWh,33427.71,June
HH01105,Fan,59,3.9,1,26,Western,High,4,5.98,0-20 kWh,532.22,September
HH01106,Fan,65,0.6,2,30,Northern,High,3,2.34,0-20 kWh,208.26,December
HH01107,Water Heater,1730,7.2,2,25,Western,High,5,622.8,50+ kWh,229813.2,November
HH01108,Radio,20,2.6,1,28,Southern,Medium,6,1.46,0-20 kWh,129.94,December
HH01109,Microwave,818,7.9,2,21,Northern,High,6,271.41,50+ kWh,100150.29,July
HH01110,Light Bulb,18,6.4,3,29,Southern,Medium,2,10.02,0-20 kWh,891.78,August
HH01111,TV,54,7.2,1,30,Western,High,1,11.66,0-20 kWh,1037.74,July
HH01112,Laptop,54,3.8,1,27,Southern,High,3,5.54,0-20 kWh,493.06,March
HH01113,Laptop,35,9.5,1,28,Southern,Low,5,9.31,0-20 kWh,828.59,June
HH01114,TV,95,1.1,2,20,Western,Low,4,4.18,0-20 kWh,372.02,December
HH01115,Iron,1037,9.4,2,29,Western,High,2,565.37,50+ kWh,208621.53,August
HH01116,Laptop,69,4.2,3,21,Kigali,High,5,18.26,0-20 kWh,1625.14,October
HH01117,Light Bulb,20,2.7,3,20,Kigali,Medium,6,3.24,0-20 kWh,288.36,December
HH01118,Iron,996,5.8,1,27,Western,High,7,155.97,50+ kWh,57552.93,August
HH01119,Washing Machine,575,9.9,2,30,Eastern,Low,8,341.55,50+ kWh,126031.95,March
HH01120,Light Bulb,10,2.2,2,21,Southern,High,6,0.92,0-20 kWh,81.88,September
HH01121,Radio,41,0.9,3,21,Eastern,Low,6,2.32,0-20 kWh,206.48,May
HH01122,Fan,73,4.0,2,20,Southern,Medium,1,11.68,0-20 kWh,1039.52,October
HH01123,Mobile Charger,6,1.7,1,27,Kigali,Medium,4,0.28,0-20 kWh,24.92,May
HH01124,Fan,65,1.2,3,25,Northern,Low,2,5.85,0-20 kWh,520.65,November
HH01125,TV,134,5.2,1,24,Western,Medium,7,16.72,0-20 kWh,1488.08,January
HH01126,Fridge,83,8.8,2,20,Kigali,High,6,29.22,21-50 kWh,9058.2,March
HH01127,Light Bulb,13,3.9,1,28,Eastern,Medium,8,1.42,0-20 kWh,126.38,June
HH01128,Light Bulb,14,9.7,1,29,Western,Low,2,3.94,0-20 kWh,350.66,April
HH01129,Mobile Charger,5,2.7,1,30,Southern,Low,6,0.41,0-20 kWh,36.49,March
HH01130,Water Heater,2354,3.5,2,21,Western,High,2,346.04,50+ kWh,127688.76,February
HH01131,Light Bulb,19,6.5,1,20,Western,Low,5,2.47,0-20 kWh,219.83,June
HH01132,Stove,1191,6.7,2,20,Southern,High,6,319.19,50+ kWh,117781.11,August
HH01133,Fridge,173,3.2,2,22,Southern,High,3,24.36,21-50 kWh,7551.6,September
HH01134,Radio,49,6.7,2,31,Western,Medium,6,20.35,21-50 kWh,6308.5,May
HH01135,Mobile Charger,10,0.5,1,21,Southern,Low,2,0.1,0-20 kWh,8.9,April
HH01136,Fan,71,6.3,3,23,Eastern,High,4,30.86,21-50 kWh,9566.6,March
HH01137,Water Heater,2903,3.6,2,20,Western,Low,5,418.03,50+ kWh,154253.07,December
HH01138,Water Heater,1723,2.2,2,25,Northern,Low,2,189.53,50+ kWh,69936.57,August
HH01139,Microwave,1025,3.0,2,26,Western,Low,7,159.9,50+ kWh,59003.1,November
HH01140,Light Bulb,16,7.1,1,25,Western,Medium,7,2.84,0-20 kWh,252.76,April
HH01141,Fridge,195,9.1,1,30,Southern,Medium,8,53.23,50+ kWh,19641.87,November
HH01142,Radio,45,1.4,1,31,Kigali,High,7,1.95,0-20 kWh,173.55,May
HH01143,Mobile Charger,8,7.6,2,24,Southern,High,3,2.92,0-20 kWh,259.88,March
HH01144,Fridge,182,2.5,2,24,Western,Low,1,21.84,21-50 kWh,6770.4,August
HH01145,Radio,23,1.5,2,22,Northern,High,7,1.52,0-20 kWh,135.28,March
HH01146,Laptop,51,9.0,2,25,Western,Low,5,22.95,21-50 kWh,7114.5,May
HH01147,Iron,1101,5.8,2,29,Kigali,Low,5,370.38,50+ kWh,136670.22,June
HH01148,Iron,1090,2.5,3,27,Kigali,Low,5,220.72,50+ kWh,81445.68,May
HH01149,Water Heater,2687,3.2,2,20,Northern,Low,6,343.94,50+ kWh,126913.86,November
HH01150,Water Heater,2319,3.2,2,23,Northern,Low,3,341.36,50+ kWh,125961.84,March
HH01151,Water Heater,2870,6.3,3,27,Northern,High,3,1464.56,50+ kWh,540422.64,August
HH01152,Microwave,894,2.2,2,30,Eastern,Low,4,118.01,50+ kWh,43545.69,May
HH01153,Fan,68,5.3,1,26,Northern,Low,3,9.37,0-20 kWh,833.93,September
HH01154,Laptop,44,9.1,1,23,Western,Medium,8,9.21,0-20 kWh,819.69,June
HH01155,Mobile Charger,10,5.4,1,25,Southern,Medium,6,1.35,0-20 kWh,120.15,December
HH01156,Laptop,58,8.9,2,26,Northern,Medium,4,26.84,21-50 kWh,8320.4,November
HH01157,Radio,42,3.5,2,20,Western,Medium,5,5.88,0-20 kWh,523.32,October
HH01158,TV,58,0.5,1,30,Kigali,Medium,2,0.87,0-20 kWh,77.43,August
HH01159,Fridge,134,8.6,2,29,Kigali,High,6,66.84,50+ kWh,24663.96,June
HH01160,Microwave,1148,2.9,2,31,Northern,High,1,206.41,50+ kWh,76165.29,April
HH01161,Fridge,92,1.9,3,20,Northern,Low,2,10.49,0-20 kWh,933.61,November
HH01162,Iron,1200,1.4,3,27,Western,Low,5,136.08,50+ kWh,50213.52,January
HH01163,Mobile Charger,5,3.8,3,25,Western,High,3,1.43,0-20 kWh,127.27,July
HH01164,Mobile Charger,10,3.8,3,30,Kigali,High,7,3.42,0-20 kWh,304.38,July
HH01165,Radio,42,5.2,2,29,Southern,High,5,12.67,0-20 kWh,1127.63,January
HH01166,Fan,64,8.0,2,30,Northern,High,1,30.72,21-50 kWh,9523.2,May
HH01167,Fan,68,9.4,1,22,Kigali,High,5,14.06,0-20 kWh,1251.34,July
HH01168,TV,142,5.0,2,22,Western,High,3,31.24,21-50 kWh,9684.4,October
HH01169,Iron,1074,2.1,1,30,Eastern,Low,7,67.66,50+ kWh,24966.54,November
HH01170,Radio,37,1.3,1,21,Kigali,Low,2,1.01,0-20 kWh,89.89,June
HH01171,Light Bulb,16,4.9,1,26,Western,Low,6,2.04,0-20 kWh,181.56,October
HH01172,Microwave,850,6.3,3,23,Southern,Medium,5,369.5,50+ kWh,136345.5,March
HH01173,Washing Machine,967,4.7,2,24,Kigali,Low,6,218.16,50+ kWh,80501.04,October
HH01174,Laptop,68,2.6,3,29,Western,Low,1,15.38,0-20 kWh,1368.82,July
HH01175,Fan,48,2.5,2,30,Eastern,Medium,6,7.2,0-20 kWh,640.8,May
HH01176,Radio,22,1.6,2,20,Eastern,Low,8,1.41,0-20 kWh,125.49,October
HH01177,Radio,25,0.5,3,20,Western,Medium,7,0.75,0-20 kWh,66.75,December
HH01178,Microwave,1074,3.0,3,28,Northern,Medium,4,270.65,50+ kWh,99869.85,June
HH01179,Fridge,152,3.9,2,23,Kigali,High,3,27.27,21-50 kWh,8453.7,January
HH01180,Laptop,39,3.5,1,26,Northern,Medium,1,3.55,0-20 kWh,315.95,August
HH01181,Laptop,68,8.9,1,31,Northern,High,8,18.76,0-20 kWh,1669.64,March
HH01182,Iron,1103,9.1,2,26,Northern,Medium,7,521.94,50+ kWh,192595.86,May
HH01183,Washing Machine,849,3.3,1,21,Eastern,Medium,6,58.84,50+ kWh,21711.96,January
HH01184,Light Bulb,18,5.0,1,22,Northern,Low,1,1.98,0-20 kWh,176.22,July
HH01185,Laptop,60,2.8,2,21,Eastern,High,8,7.06,0-20 kWh,628.34,April
HH01186,Microwave,802,7.6,2,20,Western,High,5,243.81,50+ kWh,89965.89,August
HH01187,Stove,1222,3.8,2,31,Eastern,Low,7,287.9,50+ kWh,106235.1,June
HH01188,Fan,44,2.7,2,28,Southern,High,4,6.65,0-20 kWh,591.85,August
HH01189,TV,123,1.4,2,30,Northern,Medium,6,10.33,0-20 kWh,919.37,November
HH01190,Iron,973,5.8,1,29,Southern,Low,7,163.66,50+ kWh,60390.54,July
HH01191,Fan,73,7.7,3,27,Southern,Low,7,45.53,21-50 kWh,14114.3,September
HH01192,Iron,846,2.0,1,29,Eastern,Medium,6,49.07,21-50 kWh,15211.7,October
HH01193,Iron,1036,8.4,3,22,Southern,Low,4,574.36,50+ kWh,211938.84,June
HH01194,Fridge,150,9.7,3,23,Eastern,High,5,100.39,50+ kWh,37043.91,October
HH01195,TV,119,4.2,2,23,Eastern,Low,8,22.99,21-50 kWh,7126.9,September
HH01196,Washing Machine,702,4.4,3,31,Kigali,Low,6,287.26,50+ kWh,105998.94,August
HH01197,Microwave,978,1.5,1,22,Western,Medium,7,32.27,21-50 kWh,10003.7,July
HH01198,Fan,42,0.5,2,20,Northern,Medium,7,0.84,0-20 kWh,74.76,December
HH01199,TV,101,7.1,3,24,Southern,High,6,51.63,50+ kWh,19051.47,May
HH01200,TV,83,5.9,3,31,Northern,Medium,2,45.54,21-50 kWh,14117.4,January
HH01201,Water Heater,1605,3.1,2,24,Southern,High,3,238.82,50+ kWh,88124.58,May
HH01202,Washing Machine,594,7.8,2,31,Western,Medium,3,287.26,50+ kWh,105998.94,January
HH01203,Stove,1979,0.9,2,24,Eastern,Low,3,85.49,50+ kWh,31545.81,December
HH01204,Washing Machine,951,3.6,1,31,Eastern,Low,3,106.13,50+ kWh,39161.97,November
HH01205,TV,112,3.7,1,29,Western,High,4,12.02,0-20 kWh,1069.78,September
HH01206,Mobile Charger,10,7.1,1,31,Eastern,Low,3,2.2,0-20 kWh,195.8,December
HH01207,Laptop,70,7.5,1,24,Northern,High,3,12.6,0-20 kWh,1121.4,May
HH01208,Laptop,51,1.8,3,27,Western,Low,4,7.44,0-20 kWh,662.16,May
HH01209,Water Heater,2207,7.3,2,31,Kigali,High,1,998.89,50+ kWh,368590.41,January
HH01210,Fan,62,3.0,3,31,Eastern,High,7,17.3,0-20 kWh,1539.7,June
HH01211,Fridge,175,6.7,1,26,Northern,High,5,30.48,21-50 kWh,9448.8,February
HH01212,Mobile Charger,7,7.7,1,20,Eastern,High,2,1.08,0-20 kWh,96.12,February
HH01213,Light Bulb,18,2.4,3,31,Kigali,Medium,8,4.02,0-20 kWh,357.78,October
HH01214,Laptop,68,9.0,1,25,Kigali,Low,2,15.3,0-20 kWh,1361.7,December
HH01215,Iron,1161,4.9,2,23,Southern,High,3,261.69,50+ kWh,96563.61,September
HH01216,Water Heater,2414,4.8,1,22,Eastern,Low,1,254.92,50+ kWh,94065.48,October
HH01217,Radio,21,6.4,2,25,Northern,Medium,1,6.72,0-20 kWh,598.08,May
HH01218,Fridge,196,9.9,3,27,Kigali,High,1,157.17,50+ kWh,57995.73,March
HH01219,Stove,1445,8.5,1,20,Kigali,Low,8,245.65,50+ kWh,90644.85,December
HH01220,Radio,47,5.9,1,30,Western,Medium,5,8.32,0-20 kWh,740.48,May
HH01221,Washing Machine,605,5.6,1,21,Kigali,Low,6,71.15,50+ kWh,26254.35,February
HH01222,Microwave,1113,2.8,2,30,Northern,Low,6,186.98,50+ kWh,68995.62,October
HH01223,Water Heater,2872,3.4,2,21,Western,High,1,410.12,50+ kWh,151334.28,July
HH01224,TV,81,2.5,1,29,Eastern,High,3,5.87,0-20 kWh,522.43,June
HH01225,Water Heater,1964,2.4,3,22,Eastern,High,5,311.1,50+ kWh,114795.9,April
HH01226,Fan,59,9.8,3,31,Eastern,Medium,3,53.77,50+ kWh,19841.13,July
HH01227,Mobile Charger,8,8.6,3,23,Southern,Low,5,4.75,0-20 kWh,422.75,January
HH01228,Microwave,991,6.6,1,31,Kigali,Low,6,202.76,50+ kWh,74818.44,September
HH01229,Light Bulb,19,8.5,2,26,Eastern,Medium,2,8.4,0-20 kWh,747.6,November
HH01230,Light Bulb,19,5.7,3,22,Northern,Low,2,7.15,0-20 kWh,636.35,February
HH01231,Fan,48,1.2,1,24,Western,Medium,4,1.38,0-20 kWh,122.82,May
HH01232,Radio,32,8.4,2,30,Southern,High,2,16.13,0-20 kWh,1435.57,December
HH01233,Mobile Charger,10,10.0,2,26,Kigali,Medium,3,5.2,0-20 kWh,462.8,March
HH01234,TV,134,5.2,2,21,Northern,Low,7,29.27,21-50 kWh,9073.7,January
HH01235,Stove,1856,8.0,2,31,Eastern,High,8,920.58,50+ kWh,339694.02,October
HH01236,Water Heater,2727,4.0,3,25,Western,High,1,818.1,50+ kWh,301878.9,August
HH01237,Light Bulb,12,6.1,3,21,Western,Low,6,4.61,0-20 kWh,410.29,June
HH01238,Mobile Charger,9,7.0,1,20,Northern,Medium,2,1.26,0-20 kWh,112.14,January
HH01239,Fan,40,4.2,3,23,Western,High,8,11.59,0-20 kWh,1031.51,May
HH01240,Radio,41,3.4,3,23,Southern,Medium,8,9.62,0-20 kWh,856.18,May
HH01241,Mobile Charger,6,6.2,1,24,Eastern,Medium,3,0.89,0-20 kWh,79.21,December
HH01242,Fridge,92,3.7,1,31,Kigali,High,5,10.55,0-20 kWh,938.95,July
HH01243,Mobile Charger,7,7.7,2,24,Western,High,7,2.59,0-20 kWh,230.51,September
HH01244,Light Bulb,11,0.7,3,30,Northern,High,3,0.69,0-20 kWh,61.41,August
HH01245,Washing Machine,849,6.9,2,25,Eastern,Medium,5,292.9,50+ kWh,108080.1,February
HH01246,Fridge,107,2.6,3,21,Western,Low,3,17.53,0-20 kWh,1560.17,July
HH01247,Mobile Charger,6,4.3,2,29,Kigali,Medium,5,1.5,0-20 kWh,133.5,October
HH01248,Laptop,30,2.6,2,26,Kigali,Low,7,4.06,0-20 kWh,361.34,July
HH01249,Washing Machine,969,0.5,1,31,Northern,Low,6,15.02,0-20 kWh,1336.78,October
HH01250,Light Bulb,18,4.8,2,31,Kigali,Low,2,5.36,0-20 kWh,477.04,May
HH01251,Laptop,56,3.4,3,23,Kigali,Medium,4,13.14,0-20 kWh,1169.46,February
HH01252,Laptop,55,6.1,2,23,Kigali,High,6,15.43,0-20 kWh,1373.27,January
HH01253,Mobile Charger,7,1.5,3,21,Southern,Low,1,0.66,0-20 kWh,58.74,January
HH01254,Washing Machine,582,8.8,3,26,Eastern,Medium,3,399.48,50+ kWh,147408.12,June
HH01255,Light Bulb,15,2.1,3,22,Kigali,Medium,4,2.08,0-20 kWh,185.12,January
HH01256,Iron,1073,8.4,3,31,Western,High,3,838.23,50+ kWh,309306.87,February
HH01257,Stove,1632,5.6,1,26,Kigali,Low,8,237.62,50+ kWh,87681.78,July
HH01258,Fridge,106,6.1,2,31,Western,Low,4,40.09,21-50 kWh,12427.9,July
HH01259,Laptop,65,2.5,3,22,Western,Low,3,10.72,0-20 kWh,954.08,January
HH01260,Microwave,918,7.6,1,26,Eastern,High,1,181.4,50+ kWh,66936.6,November
HH01261,Fan,75,0.6,2,20,Kigali,Low,1,1.8,0-20 kWh,160.2,July
HH01262,Laptop,30,0.8,3,23,Western,Low,3,1.66,0-20 kWh,147.74,March
HH01263,Fan,41,2.1,2,22,Western,High,8,3.79,0-20 kWh,337.31,July
HH01264,Mobile Charger,6,5.4,3,31,Northern,Medium,2,3.01,0-20 kWh,267.89,August
HH01265,TV,149,5.2,2,24,Northern,High,3,37.19,21-50 kWh,11528.9,May
HH01266,Radio,29,9.0,3,31,Northern,Low,2,24.27,21-50 kWh,7523.7,June
HH01267,Mobile Charger,5,7.3,2,31,Kigali,Medium,5,2.26,0-20 kWh,201.14,April
HH01268,Light Bulb,18,7.8,3,28,Northern,Medium,8,11.79,0-20 kWh,1049.31,April
HH01269,Fridge,139,8.8,2,26,Eastern,Medium,1,63.61,50+ kWh,23472.09,August
HH01270,Radio,50,9.0,3,27,Eastern,High,6,36.45,21-50 kWh,11299.5,February
HH01271,Iron,929,4.4,2,22,Kigali,Medium,8,179.85,50+ kWh,66364.65,September
HH01272,Iron,1120,3.9,3,23,Kigali,Low,6,301.39,50+ kWh,111212.91,February
HH01273,Washing Machine,971,1.8,1,28,Northern,Medium,2,48.94,21-50 kWh,15171.4,June
HH01274,Washing Machine,568,5.4,3,28,Kigali,Medium,1,257.64,50+ kWh,95069.16,July
HH01275,Washing Machine,845,9.8,1,29,Southern,High,1,240.15,50+ kWh,88615.35,February
HH01276,Radio,37,1.3,1,20,Eastern,Low,3,0.96,0-20 kWh,85.44,November
HH01277,Radio,29,8.6,2,30,Kigali,High,3,14.96,0-20 kWh,1331.44,March
HH01278,Microwave,1096,7.9,3,30,Eastern,Medium,3,779.26,50+ kWh,287546.94,September
HH01279,Fan,73,4.5,1,20,Northern,Low,4,6.57,0-20 kWh,584.73,April
HH01280,Light Bulb,14,0.6,2,23,Southern,Medium,8,0.39,0-20 kWh,34.71,April
HH01281,Fan,62,9.5,2,25,Northern,High,8,29.45,21-50 kWh,9129.5,May
HH01282,TV,120,5.3,1,20,Kigali,Low,1,12.72,0-20 kWh,1132.08,June
HH01283,Light Bulb,15,3.1,2,20,Northern,High,5,1.86,0-20 kWh,165.54,September
HH01284,Water Heater,2445,7.4,2,20,Eastern,Low,7,723.72,50+ kWh,267052.68,July
HH01285,Light Bulb,17,2.6,3,22,Western,High,7,2.92,0-20 kWh,259.88,July
HH01286,Stove,1460,3.9,1,29,Northern,High,6,165.13,50+ kWh,60932.97,February
HH01287,Radio,32,1.7,2,24,Eastern,Medium,1,2.61,0-20 kWh,232.29,December
HH01288,Water Heater,2893,3.7,3,25,Eastern,Low,5,802.81,50+ kWh,296236.89,May
HH01289,Fan,40,3.5,1,21,Kigali,Low,4,2.94,0-20 kWh,261.66,April
HH01290,Radio,28,5.3,2,21,Western,High,8,6.23,0-20 kWh,554.47,February
HH01291,Light Bulb,19,2.8,1,27,Eastern,Medium,4,1.44,0-20 kWh,128.16,May
HH01292,Washing Machine,815,2.9,2,27,Eastern,Low,6,127.63,50+ kWh,47095.47,September
HH01293,Microwave,1114,7.9,1,26,Northern,High,2,228.82,50+ kWh,84434.58,December
HH01294,Water Heater,1804,3.6,2,20,Eastern,High,1,259.78,50+ kWh,95858.82,February
HH01295,Water Heater,2711,7.3,2,28,Kigali,Medium,5,1108.26,50+ kWh,408947.94,September
HH01296,Fridge,183,9.8,2,26,Western,Medium,8,93.26,50+ kWh,34412.94,April
HH01297,Washing Machine,840,8.5,1,23,Kigali,High,6,164.22,50+ kWh,60597.18,March
HH01298,Stove,1448,2.7,3,30,Kigali,Medium,2,351.86,50+ kWh,129836.34,December
HH01299,Radio,46,3.2,1,21,Western,Medium,4,3.09,0-20 kWh,275.01,October
HH01300,Radio,21,7.0,1,21,Kigali,High,6,3.09,0-20 kWh,275.01,November
HH01301,TV,67,7.1,3,21,Southern,High,3,29.97,21-50 kWh,9290.7,December
HH01302,Stove,1059,9.9,1,23,Kigali,High,2,241.13,50+ kWh,88976.97,August
HH01303,Water Heater,1680,9.0,2,30,Southern,Low,7,907.2,50+ kWh,334756.8,October
HH01304,Stove,1665,6.2,3,26,Kigali,Medium,4,805.19,50+ kWh,297115.11,November
HH01305,Iron,1066,2.8,1,20,Kigali,High,8,59.7,50+ kWh,22029.3,September
HH01306,Microwave,1023,3.5,2,23,Kigali,Low,7,164.7,50+ kWh,60774.3,December
HH01307,Light Bulb,15,3.7,2,24,Western,Medium,3,2.66,0-20 kWh,236.74,November
HH01308,Radio,39,9.9,2,30,Kigali,Medium,7,23.17,21-50 kWh,7182.7,December
HH01309,Iron,1159,6.7,1,31,Western,Medium,5,240.72,50+ kWh,88825.68,March
HH01310,Water Heater,2089,5.3,2,22,Western,High,6,487.15,50+ kWh,179758.35,September
HH01311,Mobile Charger,10,3.8,1,29,Kigali,High,4,1.1,0-20 kWh,97.9,November
HH01312,Washing Machine,879,3.1,1,23,Northern,Medium,3,62.67,50+ kWh,23125.23,March
HH01313,Laptop,65,5.2,1,21,Eastern,High,4,7.1,0-20 kWh,631.9,May
HH01314,Mobile Charger,9,0.5,3,31,Western,Low,3,0.42,0-20 kWh,37.38,December
HH01315,Fridge,104,6.8,1,21,Kigali,High,2,14.85,0-20 kWh,1321.65,March
HH01316,Radio,24,3.2,1,22,Northern,Medium,7,1.69,0-20 kWh,150.41,July
HH01317,Laptop,60,2.1,2,30,Southern,Low,2,7.56,0-20 kWh,672.84,September
